Date,Calories,Carbohydrates,Fats,Proteins
6/13/2020,1427,206.7,52.26,35.92
6/14/2020,1525,192.09,65.92,37.79
6/15/2020,1414,200.99,49.17,43.74
6/16/2020,1775,174.56,81.94,86.4
6/17/2020,1866,217.32,75.88,42.17
6/18/2020,2253,283.83,103.19,51.41
6/19/2020,2462,339.25,115.47,32.05
6/20/2020,2506,305.74,125.62,52.39
6/21/2020,1098,155.88,37.89,45.6
6/22/2020,1400,59.21,104.03,60.62
6/23/2020,1069,51.04,69.23,69.93
6/24/2020,2102,263.58,68.65,109.29
6/25/2020,1631,161.4,92.27,49.08
6/26/2020,1569,126.45,97.69,52.12
6/27/2020,1666,178.4,76.37,45.9
07/08/2020,2159,265.26,97.79,60.33
07/09/2020,1224,122.36,68.93,37.33
07/10/2020,2089,248.24,105.11,42.77
07/11/2020,852,116.48,32.76,27.72
07/12/2020,1875,194.06,108.64,42.64
7/13/2020,1072,97.74,49.62,51.99
7/14/2020,2542,303.55,126.96,56.52
7/15/2020,438,79.57,8.51,8.5
7/16/2020,1595,223.16,51.8,71.57
7/17/2020,879,140.42,23.19,32.61
7/18/2020,1310,164.09,56.64,44.65
7/19/2020,1379,161.93,56.74,61.41
7/20/2020,1359,130.58,75.27,47.32
7/21/2020,1141,135.09,48.47,46.9
7/22/2020,1214,70.04,75.73,64.82
7/23/2020,1268,154.79,60.54,32.22
7/24/2020,1893,256.58,69.12,62.81
7/25/2020,1571,227.3,49.08,57.49
7/26/2020,2599,295.72,114.06,102.65
7/27/2020,2214,300.52,99.57,35.26
7/28/2020,990,130.78,40.27,36.11
7/29/2020,1862,298.79,64.7,34.13
7/30/2020,1680,196.5,83.76,40.53
7/31/2020,562,76.89,11.19,35.84
08/01/2020,971,79.25,58.42,36.89
08/02/2020,1588,169.54,86.21,42.51
08/03/2020,1829,197.98,94.98,60.86
08/04/2020,1979,237.9,101,43.5
08/05/2020,1407,239.25,38.67,38.46
08/06/2020,1505,185.17,71.14,39.99
08/07/2020,1048,126.96,49.52,38.45
08/08/2020,2933,398.05,97.82,105.92
08/09/2020,2613,376.61,80.87,94.85
08/10/2020,1261,202.68,39.1,32.09
08/11/2020,1626,227.63,45.72,77.83
08/12/2020,2569,335.15,117.08,51.18
8/13/2020,1545,184.03,70.45,39.04
8/14/2020,1004,136.41,45.24,25.05
8/15/2020,1949,244.58,92.31,34.95
8/16/2020,1421,213.53,55.6,35.2
8/17/2020,959,131.95,38.62,31.31
8/18/2020,1732,91.61,110.55,99.95
8/19/2020,982,144.54,28.19,46.24
8/20/2020,1527,220.96,63.3,39.24
8/21/2020,1526,230.73,44.43,49.16
8/22/2020,925,92.54,49.84,34.25
8/23/2020,1016,120.12,54.58,21.63
8/24/2020,1871,292.18,65.98,53.16
8/25/2020,4,1.14,0.1,0.1
8/26/2020,1934,252.97,79.99,78.23
8/27/2020,1010,85.53,57.54,39.01
8/28/2020,1042,117.66,54.2,32.01
8/29/2020,1074,163.61,42.87,19
8/30/2020,2292,247.35,119.42,60.49
8/31/2020,1429,168.94,69.71,41.99
09/01/2020,1210,131.32,69.91,25.84
09/02/2020,1318,209.2,44.51,33.64
09/03/2020,2857,343.94,107.07,128.24
09/04/2020,969,115.57,47.45,29.49
09/05/2020,1404,156.44,76.92,34.91
09/06/2020,1240,191.94,39.64,37.76
09/07/2020,1633,211.84,80.8,24.36
09/08/2020,2009,231.12,103.67,42.5
09/09/2020,2031,221.95,86.6,99.88
